OTU 1	OTU 2	corr	pval
GQ44839911388	FJ95185711509	0.317222779731	0.0
GQ44839911388	GQ35826111382	0.477572893988	0.0
HQ78788711428	KC81283111454	0.262838083708	0.0
GQ44847111385	JN83749411388	-0.310252091949	0.0
GQ44847111385	DQ05741911445	0.260006786905	0.0
GQ44847111385	AY97710111346	0.350512881977	0.0
GQ44847111385	HW06640611495	0.345971891869	0.0
GQ44847111385	DQ05748011449	0.29685076591	0.0
GQ44847111385	GQ17537511452	0.319624123281	0.0
GQ44847111385	DQ67351711492	0.326606014466	0.0
GQ44847111385	DQ67354511497	0.287414931838	0.0
GQ44847111385	DQ79339111371	0.250996228097	0.0
GQ44847111385	DQ45619711490	0.273005999915	0.0
GQ44847111385	GQ17549111448	0.432748996274	0.0
GQ44847111385	DQ05747611531	0.270707749716	0.0
DQ79365711389	FJ95185211506	0.306690604127	0.0
AB96960111522	HQ81505411440	0.286227562952	0.0
AB96960111522	DQ05739611396	0.362062867237	0.0
AB96960111522	JQ24809611505	0.303285271018	0.0
AB96960111522	DQ05742211460	0.258792994113	0.01
AB96960111522	DQ45615511438	0.370051425526	0.0
AB96960111522	GQ17549111448	0.279071016337	0.0
AB96960111522	GQ86425211491	0.462452992605	0.0
JN83749411388	DQ05741911445	-0.299039443599	0.0
JN83749411388	HQ77849311466	0.522133775842	0.0
JN83749411388	HW06640611495	-0.311676411693	0.0
JN83749411388	CDZF0101648111242	0.272049666118	0.0
JN83749411388	HQ68186211450	-0.344466851901	0.0
JN83749411388	DQ79357511386	0.294452989838	0.0
JN83749411388	FJ36764711360	0.392632273765	0.0
JN83749411388	KC56112211512	0.29960579639	0.0
JN83749411388	AB96934011560	0.318507812596	0.0
JN83749411388	DQ45619711490	-0.293512733423	0.0
JN83749411388	GQ13874411351	0.279371634565	0.0
JN83749411388	GQ17549111448	-0.304202392763	0.0
JN83749411388	HQ77291711452	-0.375437695055	0.0
JN83749411388	KM65053211454	0.257073792455	0.0
JN83749411388	EU77806011374	0.250722735894	0.0
JN83749411388	FJ95188911475	-0.292849415859	0.0
JN83749411388	HM21883611609	0.257888240681	0.0
JN83749411388	GQ23143611471	0.27753757972	0.0
GQ45121511487	DQ45632411450	0.276606711247	0.0
GQ45121511487	GQ49222811358	0.262458592316	0.0
GQ45121511487	HG79379211424	0.27690323262	0.0
