OTU 1	OTU 2	corr	pval	abs
FJ36601311355	DQ45595811447	0.300900944	0	0.300900944
JQ18852011340	HW06628811503	0.300908878	0	0.300908878
DQ79428011399	DQ45641211447	0.300909621	0	0.300909621
DQ45643411440	DQ45619711490	0.300910225	0	0.300910225
AB50617211523	DQ45595811447	0.300910478	0	0.300910478
DQ45646511451	AJ42010711518	0.300948777	0	0.300948777
HQ81483311443	GQ17538411420	0.300951519	0	0.300951519
GQ49162711358	AB02397311445	0.300962774	0	0.300962774
FJ51063711379	GQ86728911454	0.300964992	0	0.300964992
HQ81483311443	GU30309611487	0.300966966	0	0.300966966
GQ17548511455	DQ80866911368	0.300976688	0	0.300976688
JQ59965311483	CDZQ0105168138205334	0.300993805	0	0.300993805
KF84292211397	HM82243111353	0.300999745	0	0.300999745
HQ81483311443	AM40447711484	0.301006079	0	0.301006079
AB50636411521	AY91636111356	0.301006893	0	0.301006893
KC81283111454	FJ95186611493	0.30101629	0	0.30101629
DQ45595811447	GQ44824611389	0.301019926	0	0.301019926
AF37622011331	GQ13429611391	0.301041142	0	0.301041142
GQ17548511455	GQ17541411431	0.301043108	0	0.301043108
FN56330011447	GQ87172811492	0.301052765	0	0.301052765
JQ59965311483	DQ45607611438	0.301064056	0	0.301064056
HQ76509711454	FJ36299611347	0.301065036	0	0.301065036
EF02530011460	EF02525411454	0.301065122	0	0.301065122
DQ45637711455	EF07116911507	0.301066388	0	0.301066388
AY91633611350	GQ45118711533	0.301071789	0	0.301071789
JQ59965311483	GQ15640611356	0.301074518	0	0.301074518
AY85047511248	AB16738611520	0.301077758	0	0.301077758
HQ81505411440	DQ45595811447	0.301078084	0	0.301078084
GU30309611487	EU47443111383	0.301107601	0	0.301107601
HM84440911353	GQ35849611365	0.301114497	0	0.301114497
EF02530011460	HQ78823011452	0.301118075	0	0.301118075
AB62761011519	GQ15640611356	0.301120218	0	0.301120218
DQ79353011296	DQ45585311451	0.301122235	0	0.301122235
EU77159711411	AJ27905411362	0.301133358	0	0.301133358
GQ87172811492	HQ78823011452	0.301135415	0	0.301135415
GQ17550911455	AAQL0100128751442	0.301139917	0	0.301139917
HM12426011479	GQ17539111436	0.301145879	0	0.301145879
KF09759711350	FN56328811442	0.301165103	0	0.301165103
DQ05740211391	GQ13876611351	0.301168541	0	0.301168541
HQ78014011449	DQ80866911368	0.301172214	0	0.301172214
DQ05739611396	DQ45588311438	0.301173175	0	0.301173175
