#OTU ID	SRR2668386	SRR2666966	SRR2666951	SRR2666430	SRR2666998	SRR2666992	SRR2666999	SRR2667424	SRR2666957	SRR2666996	SRR2668685	SRR2666955	SRR2666952	SRR2666949	SRR2667002	SRR2666948	SRR2666944	SRR2666429	SRR2666950	SRR2668394	SRR2666993	SRR2666962	SRR2668385	SRR2666431	SRR2666900	SRR2666954	SRR2666960	SRR2666943	SRR2668706	SRR2668785	SRR2668789	SRR2668681	SRR2668790	SRR2668794	SRR2666995	SRR2666428	SRR2668389	SRR2666989	SRR2666946	SRR2668393	SRR2668388	SRR2668683	SRR2668384	SRR2668686	SRR2667003	SRR2668783	SRR2668788	SRR2668787	SRR2668807	SRR2667186	SRR2667427	SRR2668392	SRR2666953	SRR2668391	SRR2668784	SRR2667423	SRR2667123	SRR2667060	SRR2668792	SRR2666963	SRR2668811	SRR2668782	SRR2668791	SRR2668812	SRR2668682	SRR2666965	SRR2667421	SRR2666945	SRR2667425	SRR2668684	SRR2668813	SRR2668786	SRR2667426	SRR2667422	SRR2667428	SRR2667004	SRR2668383	SRR2668395	SRR2668390	SRR2666959	SRR2668396	SRR2667000	SRR2666991	SRR2668387
AY850502.1.1243	0.0	0.0	0.0	143.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109.0	0.0	0.0	0.0	0.0	0.0	177.0	59.0	0.0	0.0	4.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	72.0	0.0	66.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.0	0.0
FJ951888.1.1489	12.0	1805.0	28.0	0.0	147.0	17.0	183.0	18.0	1.0	7.0	0.0	1.0	0.0	1.0	1.0	14.0	1.0	0.0	0.0	1.0	0.0	0.0	435.0	0.0	0.0	0.0	164.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	59.0	0.0	0.0	4.0	0.0	0.0	5.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	57.0	0.0	7.0	7.0	6.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	23.0	0.0	0.0	0.0	1.0	9.0	2.0	0.0	3.0	5.0	5.0	9.0	0.0	0.0	0.0	7.0
JQ607917.1.1422	2.0	1.0	11.0	3.0	8.0	42.0	0.0	338.0	64.0	10.0	6.0	99.0	128.0	40.0	2.0	1.0	10.0	0.0	13.0	5.0	0.0	0.0	2.0	0.0	18.0	0.0	0.0	23.0	1.0	47.0	10.0	5.0	2.0	2.0	11.0	0.0	0.0	1.0	1.0	43.0	1.0	5.0	39.0	1.0	3.0	15.0	2.0	2.0	6.0	23.0	65.0	2.0	14.0	2.0	7.0	69.0	25.0	105.0	6.0	1.0	6.0	2.0	1.0	2.0	1.0	4.0	34.0	1.0	12.0	4.0	2.0	10.0	19.0	46.0	19.0	28.0	3.0	12.0	61.0	8.0	8.0	6.0	0.0	0.0
DQ798925.1.1389	0.0	0.0	0.0	0.0	0.0	1.0	0.0	13.0	0.0	55.0	2.0	1.0	0.0	0.0	10.0	14.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	6.0	0.0	2.0	0.0	3.0	6.0	0.0	0.0	0.0	1.0	0.0	1.0	9.0	14.0	0.0	0.0	0.0	0.0	5.0	8.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	2.0	2.0	1.0	3.0	0.0	3.0	0.0	0.0	0.0	1.0	3.0	0.0
GQ491124.1.1360	6.0	6.0	3.0	23.0	4.0	1.0	30.0	13.0	19.0	14.0	8.0	34.0	8.0	6.0	7.0	12.0	3.0	1.0	6.0	2.0	7.0	8.0	5.0	48.0	167.0	0.0	6.0	82.0	9.0	72.0	18.0	10.0	1.0	12.0	2.0	60.0	6.0	18.0	6.0	0.0	7.0	29.0	8.0	3.0	0.0	8.0	22.0	12.0	11.0	3.0	9.0	1.0	1.0	5.0	18.0	3.0	4.0	1.0	9.0	1.0	25.0	9.0	9.0	10.0	9.0	9.0	1.0	2.0	0.0	14.0	21.0	10.0	1.0	3.0	2.0	9.0	1.0	2.0	3.0	0.0	1.0	0.0	15.0	0.0
GQ030531.1.1363	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	6.0	14.0	8.0	0.0	2.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	3.0	0.0	9.0	15.0	13.0	2.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	12.0	1.0	3.0	3.0	0.0	0.0	2.0	0.0	0.0	7.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
EU344341.1.1375	0.0	0.0	36.0	0.0	31.0	65.0	0.0	7.0	0.0	0.0	0.0	0.0	1.0	15.0	25.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	6.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0
GU940784.1.1385	6.0	0.0	43.0	0.0	7.0	1.0	0.0	19.0	0.0	39.0	1.0	0.0	0.0	1.0	9.0	0.0	1.0	0.0	0.0	1.0	14.0	0.0	8.0	3.0	8.0	1.0	0.0	15.0	1.0	4.0	3.0	0.0	1.0	2.0	14.0	0.0	0.0	2.0	2.0	0.0	0.0	1.0	11.0	1.0	0.0	0.0	2.0	1.0	1.0	2.0	71.0	2.0	1.0	1.0	0.0	3.0	0.0	1.0	0.0	0.0	4.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	28.0	14.0	3.0	0.0	1.0	5.0	0.0	0.0
EU475245.1.1388	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	5.0	0.0	1.0	4.0	0.0	2.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	5.0	8.0	9.0	4.0	1.0	4.0	0.0	1.0	0.0	1.0	0.0	1.0	3.0	1.0	0.0	1.0	0.0	3.0	5.0	6.0	6.0	1.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	6.0	1.0	4.0	0.0	1.0	2.0	2.0	1.0	0.0	0.0	0.0	4.0	2.0	3.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FJ503400.1.1382	0.0	8.0	1.0	3.0	0.0	0.0	0.0	3.0	0.0	1.0	11.0	0.0	0.0	0.0	0.0	0.0	65.0	2.0	0.0	0.0	2.0	0.0	0.0	12.0	60.0	0.0	0.0	2.0	4.0	5.0	1.0	0.0	1.0	0.0	1.0	29.0	0.0	23.0	21.0	1.0	0.0	7.0	5.0	0.0	0.0	33.0	14.0	5.0	12.0	0.0	10.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	13.0	4.0	5.0	14.0	1.0	0.0	1.0	0.0	0.0	21.0	13.0	0.0	0.0	1.0	2.0	1.0	0.0	14.0	0.0	4.0	0.0	34.0	0.0
