OTU 1	OTU 2	corr	pval
AB05010611404	KF84213511408	0.412763473474	0.0
AB05010611404	GQ49147811372	0.341014645804	0.0
AB05010611404	HQ79430911447	0.348468806628	0.0
AB05010611404	EU76701811359	0.388818744723	0.0
ACOH01000030821636	GQ07075411388	-0.292482550198	0.0
JQ18364811359	HQ80431011461	0.528772559044	0.0
JQ18364811359	KF84331011418	0.284803260902	0.0
JQ18364811359	KF84220311417	0.315265032701	0.0
JQ18364811359	HQ76314311435	0.295832747801	0.0
JQ18364811359	AF37622711338	0.264477429076	0.0
JQ18364811359	GQ49147811372	0.519317824513	0.0
JQ18364811359	HQ79430911447	0.481711365424	0.0
JQ18364811359	GQ07075411388	0.304460482163	0.0
JQ18364811359	KC56110911508	-0.308079786298	0.0
JQ18364811359	GQ23143611471	0.304872609966	0.0
JQ18364811359	EU76701811359	0.482878384114	0.0
JQ18364811359	DQ45582411440	0.320005120313	0.0
JQ18364811359	GQ17539111436	0.301456405821	0.0
DQ05738811392	DQ45615511438	0.273990960983	0.0
DQ05738811392	GQ17539111436	0.270706641289	0.0
DQ45615211440	AY98530011345	0.289426435203	0.0
HM30633011392	KF84220311417	0.320182843277	0.0
HM30633011392	GQ13574111431	0.320189395169	0.0
HM30633011392	EU45364311432	0.335091697004	0.0
HM30633011392	GQ44892911311	0.822068361901	0.0
HM30633011392	EU45549311432	0.415876520785	0.0
HM30633011392	GQ07075411388	0.281867492329	0.0
HM30633011392	GQ44825611427	0.830989833998	0.0
HM30633011392	EF09737311429	0.588897866853	0.0
AY44512711522	HQ80431011461	0.320541305639	0.0
AY44512711522	KF84331011418	0.413942628898	0.0
AY44512711522	AF37622711338	0.274380461593	0.0
AY44512711522	GQ17551511424	0.251341076162	0.0
AY44512711522	GQ49147811372	0.355163968418	0.0
AY44512711522	HQ79430911447	0.252123776926	0.0
AY44512711522	GQ07075411388	0.30911989038	0.0
AY44512711522	DQ05742911489	0.29239363948	0.0
AY44512711522	KC56110911508	-0.289458495566	0.0
AY44512711522	EU76701811359	0.276702476003	0.0
AY44512711522	DQ45582411440	0.316158317384	0.0
AY44512711522	DQ45615511438	0.369799306589	0.0
AY44512711522	GQ17539111436	0.410965833058	0.0
AY44512711522	DQ05741311447	0.272436499727	0.0
GQ17542511467	AM27740411521	0.27396536968	0.0
GQ17542511467	EU00985511492	0.254212401976	0.0
GQ17542511467	GQ07075411388	-0.271516743085	0.0
DQ05741111426	KF84331011418	-0.369859464563	0.0
DQ05741111426	KF84206311425	0.25020426473	0.0
DQ05741111426	EU45158011414	0.374454307725	0.0
DQ05741111426	EU79113411555	0.341047674993	0.0
DQ05741111426	GQ13574111431	0.481527718843	0.0
DQ05741111426	JN62021211429	0.364148416528	0.0
DQ05741111426	GQ26787611424	0.764216465442	0.0
DQ05741111426	DQ05742911489	0.298136817852	0.0
DQ05741111426	KC56110911508	0.301219482087	0.0
DQ05741111426	JQ47333711437	0.309392091991	0.0
DQ45643111440	DQ45584511443	0.27782738862	0.0
DQ45643111440	DQ45615511438	0.340284439697	0.0
DQ45643111440	GQ17539111436	0.336407494957	0.0
EU45543611434	HQ80431011461	0.306891932644	0.0
EU45543611434	EU79113411555	0.302723127733	0.0
EU45543611434	GQ13574111431	0.425728572724	0.0
EU45543611434	GQ49147811372	0.344665843304	0.0
EU45543611434	HQ79430911447	0.301082807398	0.0
EU45543611434	GQ07075411388	0.291136385135	0.0
EU45543611434	GQ23143611471	0.362544083631	0.0
EU45543611434	EU76701811359	0.334991679653	0.0
EU45543611434	JQ47333711437	0.270228764554	0.0
FJ36904711345	AB61613411495	0.327903035192	0.0
FJ36904711345	AY68439211432	0.258345798183	0.0
FJ36904711345	DQ45615511438	0.254849212695	0.0
HQ80431011461	KF84331011418	0.440579118562	0.0
HQ80431011461	KF84220311417	0.368856068457	0.0
HQ80431011461	HQ76314311435	0.365603553792	0.0
HQ80431011461	KF84206311425	-0.327264227853	0.0
HQ80431011461	AF37622711338	0.36653359611	0.0
HQ80431011461	AB61613411495	0.381083170317	0.0
HQ80431011461	GQ49147811372	0.701906210591	0.0
HQ80431011461	HQ79430911447	0.628807238999	0.0
HQ80431011461	AY98530011345	0.333296332596	0.0
HQ80431011461	GQ07075411388	0.39596277261	0.0
HQ80431011461	KC56110911508	-0.427818935918	0.0
HQ80431011461	GQ23143611471	0.395061232964	0.0
HQ80431011461	EU76701811359	0.647232265985	0.0
